gene_id	symbol	ratio
374096	SMAD6	0.6892992938620315
395132	SMAD3	7.128911138923654
395247	SMAD2	3.370212765957447
395543	SMAD9	Infinity
395679	SMAD5	3.013579576317219
395680	SMAD4	2.3619197482297403
429683	SMAD7	0.647887323943662
374094	TGFBR1	6.733865119651922
396399	TGFBR2	0.45263157894736844
395934	SHC1	1.4310163243812535
426482	SHC4	Infinity
431265	SHC3	NaN
770341	SHC2	3.3697916666666665
386572	GRB2	10.56062819576333
423572	SOS2	1.4514200298953663
425964	SOS1	1.5194805194805194
396308	BMPR1A	3.8235294117647056
396030	BMPR1B	0
374147	BMPR2	2.0044843049327357
416487	SMURF1	2.2857142857142856
427809	SMURF2	1.2105263157894737
373922	LIMK1	0.16279069767441862
396010	LIMK2	1.6551724137931036
395928	AKT1	2.4284539473684212
421497	AKT3	8.68421052631579
395870	RAC3	22.007843137254902
395871	RAC1	5.6443755535872455
418044	RAC2	0.027662818558048356
395917	CDC42	9.29726872246696
416734	PAK7	Infinity
419083	PAK1	10.736842105263158
422342	PAK3	4.31958762886598
424860	PAK2	1.773972602739726
428837	PAK6	Infinity
395442	RHOA	3.8306700861445386
373970	ROCK1	3.1595141700404863
374182	ROCK2	2.2685421994884907
417737	MLC1	NaN
416158	PTTG1	2.818725099601594
424563	CDC20	2.652941176470588
425275	MCM10	0.5031847133757962
