Complex1	dimerized CEL:bile salt complex	extracellular region	Reactome DB_ID: 192480	Complex2	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	SmallMolecule1	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	Complex11	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	SmallMolecule15	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	Protein18	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	SmallMolecule3	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	Protein19	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	Protein20	
Complex11	ApoB-48:TG:PL complex	extracellular region	Reactome DB_ID: 174729	Protein17	
Complex11	ApoB-48:TG:PL complex	extracellular region	Reactome DB_ID: 174729	SmallMolecule15	
Complex11	ApoB-48:TG:PL complex	extracellular region	Reactome DB_ID: 174729	SmallMolecule36	
Complex12	spherical HDL:apoC-II:apoC-III:apoE	extracellular region	Reactome DB_ID: 174643	Protein22	
Complex12	spherical HDL:apoC-II:apoC-III:apoE	extracellular region	Reactome DB_ID: 174643	Protein23	
Complex12	spherical HDL:apoC-II:apoC-III:apoE	extracellular region	Reactome DB_ID: 174643	Protein24	
Complex12	spherical HDL:apoC-II:apoC-III:apoE	extracellular region	Reactome DB_ID: 174643	Complex13	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	SmallMolecule1	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	SmallMolecule15	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	Protein18	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	SmallMolecule3	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	SmallMolecule36	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	SmallMolecule1	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein22	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Complex11	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	SmallMolecule15	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein23	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein18	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein24	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	SmallMolecule3	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein19	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein20	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	SmallMolecule1	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein22	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Complex11	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	SmallMolecule15	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein23	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein18	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein24	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	SmallMolecule3	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein19	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein20	
Complex16	HSPG:LPL:LPL	plasma membrane	Reactome DB_ID: 174691	Protein25	
Complex16	HSPG:LPL:LPL	plasma membrane	Reactome DB_ID: 174691	Complex17	
Complex17	LPL:LPL	extracellular region	Reactome DB_ID: 174592	Protein28	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	SmallMolecule1	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	Complex11	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	SmallMolecule15	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	Protein24	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	SmallMolecule3	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein22	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein18	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein23	
