Complex1	Apo-GP96 dimer	endoplasmic reticulum lumen	Reactome DB_ID: 1678941	Protein2	
Complex10	FL-TLR8 dimer	Golgi membrane	Reactome DB_ID: 1678996	Protein11	
Complex100	p-2S-cJUN:p-2T-ATF2	nucleoplasm	Reactome DB_ID: 450262	Protein230	
Complex100	p-2S-cJUN:p-2T-ATF2	nucleoplasm	Reactome DB_ID: 450262	Protein228	
Complex101	p-2S-cJUN:p-2S,2T-cFOS	nucleoplasm	Reactome DB_ID: 450327	Protein230	
Complex101	p-2S-cJUN:p-2S,2T-cFOS	nucleoplasm	Reactome DB_ID: 450327	Protein232	
Complex102	viral dsRNA :TLR3	endosome membrane	Reactome DB_ID: 167985	PhysicalEntity11	
Complex102	viral dsRNA :TLR3	endosome membrane	Reactome DB_ID: 167985	Protein233	
Complex103	TRAM:TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 166163	Complex104	
Complex103	TRAM:TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 166163	Protein235	
Complex104	TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 2201299	Complex105	
Complex104	TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 2201299	SmallMolecule16	
Complex104	TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 2201299	Protein238	
Complex105	TLR4:MD2	endosome membrane	Reactome DB_ID: 2201291	Protein236	
Complex105	TLR4:MD2	endosome membrane	Reactome DB_ID: 2201291	Protein237	
Complex106	TRIF:TRAM:TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 166172	Complex103	
Complex106	TRIF:TRAM:TLR4:MD2:LPS:CD14	endosome membrane	Reactome DB_ID: 166172	Protein234	
Complex107	viral dsRNA:TLR3:TRIF 	endosome membrane	Reactome DB_ID: 168907	Complex102	
Complex107	viral dsRNA:TLR3:TRIF 	endosome membrane	Reactome DB_ID: 168907	Protein239	
Complex109	SARM:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2559578	Complex108	
Complex109	SARM:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2559578	Protein240	
Complex11	FL-TLR9:FL-TLR9	Golgi membrane	Reactome DB_ID: 1679083	Protein12	
Complex110	TRAF3:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2201339	Protein241	
Complex110	TRAF3:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2201339	Complex108	
Complex111	K63-poly-Ub-TRAF3:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2213008	Complex108	
Complex111	K63-poly-Ub-TRAF3:TRIF:activated TLR3/TLR4	endosome membrane	Reactome DB_ID: 2213008	Protein242	
Complex112	activated TLR3/4:TRIF:K63-poly-Ub-TRAF3:p-TBK1/p-IKK epsilon	endosome membrane	Reactome DB_ID: 936970	Protein246	
Complex112	activated TLR3/4:TRIF:K63-poly-Ub-TRAF3:p-TBK1/p-IKK epsilon	endosome membrane	Reactome DB_ID: 936970	Complex111	
Complex113	activated TLR3/4:TRIF:K63-poly-Ub-TRAF3:p-TBK1/p-IKKE:IRF3/IRF7	endosome membrane	Reactome DB_ID: 937070	Protein249	
Complex113	activated TLR3/4:TRIF:K63-poly-Ub-TRAF3:p-TBK1/p-IKKE:IRF3/IRF7	endosome membrane	Reactome DB_ID: 937070	Complex112	
Complex115	p-2S-IRF7:p-2S-IRF7	cytosol	Reactome DB_ID: 450344	Protein255	
Complex116	p-T,4S-IRF3:p-T,4S-IRF3	cytosol	Reactome DB_ID: 166272	Protein254	
Complex118	p-T,4S-IRF3:p-T,4S-IRF3	nucleoplasm	Reactome DB_ID: 177675	Protein256	
