Complex1	NCAM1 cis-homodimer	plasma membrane	Reactome DB_ID: 190988	Protein1	
Complex10	NCAM1 complexed with pFyn-Y420	plasma membrane	Reactome DB_ID: 391842	Complex7	
Complex10	NCAM1 complexed with pFyn-Y420	plasma membrane	Reactome DB_ID: 391842	Protein13	
Complex10	NCAM1 complexed with pFyn-Y420	plasma membrane	Reactome DB_ID: 391842	Complex11	
Complex11	NCAM:pFyn-Y420	plasma membrane	Reactome DB_ID: 391843	Complex2	
Complex11	NCAM:pFyn-Y420	plasma membrane	Reactome DB_ID: 391843	Protein15	
Complex12	pFAK (391) bound to NCAM1:pFyn	plasma membrane	Reactome DB_ID: 391841	Complex10	
Complex12	pFAK (391) bound to NCAM1:pFyn	plasma membrane	Reactome DB_ID: 391841	Protein17	
Complex13	Multiple phosphorylated FAK bound to NCAM:pFyn	plasma membrane	Reactome DB_ID: 391848	Complex10	
Complex13	Multiple phosphorylated FAK bound to NCAM:pFyn	plasma membrane	Reactome DB_ID: 391848	Protein18	
Complex14	Grb2:pFAK bound to NCAM1:pFyn	plasma membrane	Reactome DB_ID: 392047	Complex10	
Complex14	Grb2:pFAK bound to NCAM1:pFyn	plasma membrane	Reactome DB_ID: 392047	Complex15	
Complex15	pFAK:Grb2	cytosol	Reactome DB_ID: 392043	Protein18	
Complex15	pFAK:Grb2	cytosol	Reactome DB_ID: 392043	Protein20	
Complex16	Grb2:Sos:pFAK bound to NCAM1:pFyn	plasma membrane	Reactome DB_ID: 392045	Complex10	
Complex16	Grb2:Sos:pFAK bound to NCAM1:pFyn	plasma membrane	Reactome DB_ID: 392045	Complex17	
Complex17	pFAK:Grb2:Sos	cytosol	Reactome DB_ID: 392044	Protein21	
Complex17	pFAK:Grb2:Sos	cytosol	Reactome DB_ID: 392044	Protein18	
Complex17	pFAK:Grb2:Sos	cytosol	Reactome DB_ID: 392044	Protein20	
Complex18	p21 RAS:GDP	plasma membrane	Reactome DB_ID: 109796	Protein22	
Complex18	p21 RAS:GDP	plasma membrane	Reactome DB_ID: 109796	SmallMolecule6	
Complex19	p21 RAS:GTP	plasma membrane	Reactome DB_ID: 109783	SmallMolecule5	
Complex19	p21 RAS:GTP	plasma membrane	Reactome DB_ID: 109783	Protein22	
Complex2	NCAM1:NCAM1 trans-homotetramer	plasma membrane	Reactome DB_ID: 375103	Complex1	
Complex20	p-Raf1(S259,S621):14-3-3 protein beta/alpha	cytosol	Reactome DB_ID: 109787	Protein26	
Complex20	p-Raf1(S259,S621):14-3-3 protein beta/alpha	cytosol	Reactome DB_ID: 109787	Protein27	
Complex21	RAS:RAF	plasma membrane	Reactome DB_ID: 109788	Protein27	
Complex21	RAS:RAF	plasma membrane	Reactome DB_ID: 109788	Complex19	
Complex22	RAS:RAF:14-3-3	plasma membrane	Reactome DB_ID: 109789	Complex21	
Complex22	RAS:RAF:14-3-3	plasma membrane	Reactome DB_ID: 109789	Protein26	
Complex23	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Protein26	
Complex23	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Complex19	
Complex23	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Protein28	
Complex24	HRAS:GTP	plasma membrane	Reactome DB_ID: 167204	Protein23	
Complex24	HRAS:GTP	plasma membrane	Reactome DB_ID: 167204	SmallMolecule5	
Complex25	Ras:GTP:p-Raf1(S259,S621)	plasma membrane	Reactome DB_ID: 206716	Protein27	
Complex25	Ras:GTP:p-Raf1(S259,S621)	plasma membrane	Reactome DB_ID: 206716	Complex24	
Complex26	Activated RAF1 complex:MEK	plasma membrane	Reactome DB_ID: 112406	Protein29	
Complex26	Activated RAF1 complex:MEK	plasma membrane	Reactome DB_ID: 112406	Complex23	
Complex27	Activated RAF1 complex:MEK1	plasma membrane	Reactome DB_ID: 109794	Complex23	
Complex27	Activated RAF1 complex:MEK1	plasma membrane	Reactome DB_ID: 109794	Protein30	
Complex28	Activated RAF1 complex:MEK2	plasma membrane	Reactome DB_ID: 109795	Protein31	
Complex28	Activated RAF1 complex:MEK2	plasma membrane	Reactome DB_ID: 109795	Complex23	
Complex29	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein32	
