Complex1	FIH1:FIH1	cytosol	Reactome DB_ID: 1235007	Protein7	
Complex10	ub-hydroxyPro-HIF-alpha	cytosol	Reactome DB_ID: 1234113	Protein36	
Complex10	ub-hydroxyPro-HIF-alpha	cytosol	Reactome DB_ID: 1234113	Protein29	
Complex11	UBE2D1,2,3:Ubiquitin	nucleoplasm	Reactome DB_ID: 1234123	Protein55	
Complex11	UBE2D1,2,3:Ubiquitin	nucleoplasm	Reactome DB_ID: 1234123	Protein59	
Complex12	ub-HIF-alpha:VHL:EloB/C:CUL2:RBX1	nucleoplasm	Reactome DB_ID: 1234103	Complex5	
Complex12	ub-HIF-alpha:VHL:EloB/C:CUL2:RBX1	nucleoplasm	Reactome DB_ID: 1234103	Complex13	
Complex13	ub-HIF-alpha	nucleoplasm	Reactome DB_ID: 1234100	Protein35	
Complex13	ub-HIF-alpha	nucleoplasm	Reactome DB_ID: 1234100	Protein59	
Complex14	HIF	nucleoplasm	Reactome DB_ID: 1234130	Protein76	
Complex14	HIF	nucleoplasm	Reactome DB_ID: 1234130	Protein75	
Complex15	HIF:CBP:p300	nucleoplasm	Reactome DB_ID: 1234099	Protein77	
Complex15	HIF:CBP:p300	nucleoplasm	Reactome DB_ID: 1234099	Protein78	
Complex15	HIF:CBP:p300	nucleoplasm	Reactome DB_ID: 1234099	Complex14	
Complex15	HIF:CBP:p300	nucleoplasm	Reactome DB_ID: 1234099	PhysicalEntity1	
Complex17	phospho-ERK-1 dimer	nucleoplasm	Reactome DB_ID: 109845	Protein88	
Complex18	phospho-ERK-2 dimer	nucleoplasm	Reactome DB_ID: 109856	Protein89	
Complex19	p-T38-ETS1/ p-T72-ETS2:CDKN2A Gene	nucleoplasm	Reactome DB_ID: 3200029	Dna1	
Complex19	p-T38-ETS1/ p-T72-ETS2:CDKN2A Gene	nucleoplasm	Reactome DB_ID: 3200029	Protein85	
Complex2	RBX1-CUL2-EloB/C-VHL	cytosol	Reactome DB_ID: 976093	Protein24	
Complex2	RBX1-CUL2-EloB/C-VHL	cytosol	Reactome DB_ID: 976093	Protein25	
Complex2	RBX1-CUL2-EloB/C-VHL	cytosol	Reactome DB_ID: 976093	Complex3	
Complex20	p-T72-ETS2:ID1	nucleoplasm	Reactome DB_ID: 3209172	Protein87	
Complex20	p-T72-ETS2:ID1	nucleoplasm	Reactome DB_ID: 3209172	Protein90	
Complex21	ERF:ETS2 Gene	nucleoplasm	Reactome DB_ID: 3209182	Protein91	
Complex21	ERF:ETS2 Gene	nucleoplasm	Reactome DB_ID: 3209182	Dna2	
Complex22	Cdk4/6:INK4A complex	cytosol	Reactome DB_ID: 182579	Protein94	
Complex22	Cdk4/6:INK4A complex	cytosol	Reactome DB_ID: 182579	Protein99	
Complex23	DP-1:E2F1/2/3	nucleoplasm	Reactome DB_ID: 1227905	Protein102	
Complex23	DP-1:E2F1/2/3	nucleoplasm	Reactome DB_ID: 1227905	Protein106	
Complex24	DP1/2: E2F1/2/3: SP1: CDKN2A Gene	nucleoplasm	Reactome DB_ID: 3209097	Complex23	
Complex24	DP1/2: E2F1/2/3: SP1: CDKN2A Gene	nucleoplasm	Reactome DB_ID: 3209097	Dna1	
Complex24	DP1/2: E2F1/2/3: SP1: CDKN2A Gene	nucleoplasm	Reactome DB_ID: 3209097	Protein107	
Complex25	miR-24 Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 3209134	Protein108	
Complex25	miR-24 Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 3209134	Complex26	
Complex25	miR-24 Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 3209134	Protein113	
Complex26	Argonaute1/3/4: miR-24	cytosol	Reactome DB_ID: 3209140	Protein109	
Complex26	Argonaute1/3/4: miR-24	cytosol	Reactome DB_ID: 3209140	Rna4	
Complex27	p16-INK4a/p14-ARF mRNA: miR-24 Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 3209131	Rna3	
Complex27	p16-INK4a/p14-ARF mRNA: miR-24 Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 3209131	Complex25	
Complex28	MDM2:TP53	nucleoplasm	Reactome DB_ID: 69489	Protein118	
Complex28	MDM2:TP53	nucleoplasm	Reactome DB_ID: 69489	Complex29	
Complex29	TP53 Tetramer	nucleoplasm	Reactome DB_ID: 3209194	Protein119	
Complex3	VBC complex	cytosol	Reactome DB_ID: 390483	Protein26	
Complex3	VBC complex	cytosol	Reactome DB_ID: 390483	Protein27	
Complex3	VBC complex	cytosol	Reactome DB_ID: 390483	Protein28	
Complex30	Ub-TP53	nucleoplasm	Reactome DB_ID: 3209186	Complex29	
Complex30	Ub-TP53	nucleoplasm	Reactome DB_ID: 3209186	Protein59	
Complex31	Ub-MDM2	nucleoplasm	Reactome DB_ID: 3215303	Protein118	
Complex31	Ub-MDM2	nucleoplasm	Reactome DB_ID: 3215303	Protein59	
Complex32	p14-ARF:MDM2:TP53	nucleoplasm	Reactome DB_ID: 3209189	Complex28	
Complex32	p14-ARF:MDM2:TP53	nucleoplasm	Reactome DB_ID: 3209189	Protein117	
Complex33	p14-ARF:MDM2	nucleoplasm	Reactome DB_ID: 3209192	Protein118	
Complex33	p14-ARF:MDM2	nucleoplasm	Reactome DB_ID: 3209192	Protein117	
Complex34	MAP3K5:TXN	cytosol	Reactome DB_ID: 3225859	Protein120	
Complex34	MAP3K5:TXN	cytosol	Reactome DB_ID: 3225859	Protein121	
Complex35	p38 MAPK:MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450269	Protein136	
Complex35	p38 MAPK:MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450269	Protein139	
Complex36	phospho-p38 MAPK: MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450213	Protein142	
Complex36	phospho-p38 MAPK: MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450213	Protein136	
Complex37	p-p38 MAPK:p-MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450254	Protein142	
Complex37	p-p38 MAPK:p-MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450254	Protein145	
Complex38	p-2S-cJUN:p-2S,2T-cFOS	nucleoplasm	Reactome DB_ID: 450327	Protein165	
Complex38	p-2S-cJUN:p-2S,2T-cFOS	nucleoplasm	Reactome DB_ID: 450327	Protein167	
Complex39	EED Gene:E2F1/2/3:DP1/2	nucleoplasm	Reactome DB_ID: 3240767	Complex23	
Complex39	EED Gene:E2F1/2/3:DP1/2	nucleoplasm	Reactome DB_ID: 3240767	Dna3	
Complex4	hydroxyPro-HIF-alpha:VHL:EloB/C:CUL2:RBX1	cytosol	Reactome DB_ID: 1234125	Complex2	
Complex4	hydroxyPro-HIF-alpha:VHL:EloB/C:CUL2:RBX1	cytosol	Reactome DB_ID: 1234125	Protein29	
Complex40	EZH2 Gene:E2F1/2/3:DP1/2	nucleoplasm	Reactome DB_ID: 3240771	Complex23	
Complex40	EZH2 Gene:E2F1/2/3:DP1/2	nucleoplasm	Reactome DB_ID: 3240771	Dna4	
Complex41	SUZ12 Gene:E2F1/2/3:DP1/2	nucleoplasm	Reactome DB_ID: 3240769	Complex23	
Complex41	SUZ12 Gene:E2F1/2/3:DP1/2	nucleoplasm	Reactome DB_ID: 3240769	Dna5	
Complex42	PRC2-EZH2	nucleoplasm	Reactome DB_ID: 212285	Protein168	
Complex42	PRC2-EZH2	nucleoplasm	Reactome DB_ID: 212285	Protein171	
Complex42	PRC2-EZH2	nucleoplasm	Reactome DB_ID: 212285	Protein172	
Complex42	PRC2-EZH2	nucleoplasm	Reactome DB_ID: 212285	Protein169	
Complex42	PRC2-EZH2	nucleoplasm	Reactome DB_ID: 212285	Protein170	
