Complex1	Citrate lyase homotetramer	cytosol	Reactome DB_ID: 76188	Protein2	
Complex10	Trifunctional Protein	mitochondrial matrix	Reactome DB_ID: 77267	Protein62	
Complex10	Trifunctional Protein	mitochondrial matrix	Reactome DB_ID: 77267	Protein63	
Complex11	ACADL tetramer	mitochondrial matrix	Reactome DB_ID: 77258	Protein64	
Complex12	ECHS1 hexamer	mitochondrial matrix	Reactome DB_ID: 71048	Protein65	
Complex13	HADH dimer	mitochondrial matrix	Reactome DB_ID: 71052	Protein66	
Complex14	ACADM tetramer	mitochondrial matrix	Reactome DB_ID: 77335	Protein67	
Complex15	ACADS tetramer	mitochondrial matrix	Reactome DB_ID: 77316	Protein68	
Complex16	DCI dimer	mitochondrial matrix	Reactome DB_ID: 110060	Protein69	
Complex17	DECR1 tetramer	mitochondrial matrix	Reactome DB_ID: 110061	Protein70	
Complex18	6x(Btn-PCCA:PCCB)	mitochondrial matrix	Reactome DB_ID: 71026	Complex19	
Complex19	Btn-PCCA:PCCB	mitochondrial matrix	Reactome DB_ID: 71025	Protein71	
Complex19	Btn-PCCA:PCCB	mitochondrial matrix	Reactome DB_ID: 71025	Protein72	
Complex2	FAS dimer	cytosol	Reactome DB_ID: 77380	Protein4	
Complex20	2xMMAA:2xMUT:AdoCbl	mitochondrial matrix	Reactome DB_ID: 3159272	Complex21	
Complex20	2xMMAA:2xMUT:AdoCbl	mitochondrial matrix	Reactome DB_ID: 3159272	Complex22	
Complex21	2xMMAA	mitochondrial matrix	Reactome DB_ID: 3159270	Protein74	
Complex22	2xMUT:AdoCbl	mitochondrial matrix	Reactome DB_ID: 70999	Protein75	
Complex22	2xMUT:AdoCbl	mitochondrial matrix	Reactome DB_ID: 70999	SmallMolecule100	
Complex23	2xMMAA:2xMUT	mitochondrial matrix	Reactome DB_ID: 3159295	Complex21	
Complex23	2xMMAA:2xMUT	mitochondrial matrix	Reactome DB_ID: 3159295	Complex24	
Complex24	2xMUT	mitochondrial matrix	Reactome DB_ID: 3159252	Protein75	
Complex25	ACAT1 tetramer	mitochondrial matrix	Reactome DB_ID: 70839	Protein76	
Complex26	HMGCL dimer	mitochondrial matrix	Reactome DB_ID: 74264	Protein78	
Complex27	BDH1 tetramer	mitochondrial matrix	Reactome DB_ID: 74280	Protein79	
Complex28	OXCT1 dimer	mitochondrial matrix	Reactome DB_ID: 74318	Protein80	
Complex29	PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 400138	Protein82	
Complex29	PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 400138	Protein83	
Complex29	PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 400138	PhysicalEntity2	
Complex30	PPARA:RXRA Repressor Complex	nucleoplasm	Reactome DB_ID: 400196	Protein84	
Complex30	PPARA:RXRA Repressor Complex	nucleoplasm	Reactome DB_ID: 400196	Protein85	
Complex30	PPARA:RXRA Repressor Complex	nucleoplasm	Reactome DB_ID: 400196	Complex29	
Complex30	PPARA:RXRA Repressor Complex	nucleoplasm	Reactome DB_ID: 400196	Protein86	
Complex31	FABP1:Ligands of PPARA	nucleoplasm	Reactome DB_ID: 2026984	Protein92	
Complex31	FABP1:Ligands of PPARA	nucleoplasm	Reactome DB_ID: 2026984	SmallMolecule108	
Complex32	PPARA:RXRA Coactivator Complex	nucleoplasm	Reactome DB_ID: 400154	Complex33	
Complex32	PPARA:RXRA Coactivator Complex	nucleoplasm	Reactome DB_ID: 400154	Protein84	
Complex32	PPARA:RXRA Coactivator Complex	nucleoplasm	Reactome DB_ID: 400154	Protein93	
Complex32	PPARA:RXRA Coactivator Complex	nucleoplasm	Reactome DB_ID: 400154	Protein85	
Complex33	Activated PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 422412	Complex34	
Complex33	Activated PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 422412	Protein83	
Complex33	Activated PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 422412	PhysicalEntity2	
Complex34	PPARA: Fatty Acid Complex (Activated PPARA)	nucleoplasm	Reactome DB_ID: 422413	Protein82	
Complex34	PPARA: Fatty Acid Complex (Activated PPARA)	nucleoplasm	Reactome DB_ID: 422413	SmallMolecule108	
Complex35	SREBP1A/2:NF-Y:HMGCR gene	nucleoplasm	Reactome DB_ID: 2426128	Complex36	
Complex35	SREBP1A/2:NF-Y:HMGCR gene	nucleoplasm	Reactome DB_ID: 2426128	Complex37	
