Complex1	Dimeric TGFB1	extracellular region	Reactome DB_ID: 170852	Protein1	
Complex10	TGFBR2 homodimer	plasma membrane	Reactome DB_ID: 170866	Protein14	
Complex11	TGFB1:TGFBR2:TGFBR1	plasma membrane	Reactome DB_ID: 170840	Complex1	
Complex11	TGFB1:TGFBR2:TGFBR1	plasma membrane	Reactome DB_ID: 170840	Complex6	
Complex11	TGFB1:TGFBR2:TGFBR1	plasma membrane	Reactome DB_ID: 170840	Complex10	
Complex12	TGFB1:TGFBR2:p-TGFBR1	plasma membrane	Reactome DB_ID: 170841	Complex1	
Complex12	TGFB1:TGFBR2:p-TGFBR1	plasma membrane	Reactome DB_ID: 170841	Complex13	
Complex12	TGFB1:TGFBR2:p-TGFBR1	plasma membrane	Reactome DB_ID: 170841	Complex10	
Complex13	p-TGFBR1	plasma membrane	Reactome DB_ID: 170863	Protein15	
Complex14	TGFB1:p-TGFBR:SARA:SMAD2/3	early endosome membrane	Reactome DB_ID: 171266	Complex1	
Complex14	TGFB1:p-TGFBR:SARA:SMAD2/3	early endosome membrane	Reactome DB_ID: 171266	Protein16	
Complex14	TGFB1:p-TGFBR:SARA:SMAD2/3	early endosome membrane	Reactome DB_ID: 171266	Complex13	
Complex14	TGFB1:p-TGFBR:SARA:SMAD2/3	early endosome membrane	Reactome DB_ID: 171266	Protein19	
Complex14	TGFB1:p-TGFBR:SARA:SMAD2/3	early endosome membrane	Reactome DB_ID: 171266	Complex10	
Complex15	TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3	early endosome membrane	Reactome DB_ID: 171180	Complex1	
Complex15	TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3	early endosome membrane	Reactome DB_ID: 171180	Protein20	
Complex15	TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3	early endosome membrane	Reactome DB_ID: 171180	Complex13	
Complex15	TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3	early endosome membrane	Reactome DB_ID: 171180	Protein19	
Complex15	TGFB1:p-TGFBR:SARA:p-2S-SMAD2/3	early endosome membrane	Reactome DB_ID: 171180	Complex10	
Complex16	TGFB1:p-TGFBR:SARA	early endosome membrane	Reactome DB_ID: 171173	Complex1	
Complex16	TGFB1:p-TGFBR:SARA	early endosome membrane	Reactome DB_ID: 171173	Complex13	
Complex16	TGFB1:p-TGFBR:SARA	early endosome membrane	Reactome DB_ID: 171173	Protein19	
Complex16	TGFB1:p-TGFBR:SARA	early endosome membrane	Reactome DB_ID: 171173	Complex10	
Complex17	p-2S-SMAD2/3:SMAD4	cytosol	Reactome DB_ID: 171175	Protein23	
Complex17	p-2S-SMAD2/3:SMAD4	cytosol	Reactome DB_ID: 171175	Protein20	
Complex18	TGFB1: p-TGFBR: I-SMAD7	plasma membrane	Reactome DB_ID: 173476	Complex1	
Complex18	TGFB1: p-TGFBR: I-SMAD7	plasma membrane	Reactome DB_ID: 173476	Protein24	
