Complex1	sucrase-isomaltase dimer	plasma membrane	Reactome DB_ID: 189082	Complex2	
Complex10	GLUT1:ATP	plasma membrane	Reactome DB_ID: 450089	SmallMolecule21	
Complex10	GLUT1:ATP	plasma membrane	Reactome DB_ID: 450089	Complex7	
Complex100	limit dextrin-glycogenin-1 dimer	cytosol	Reactome DB_ID: 453345	Protein167	
Complex100	limit dextrin-glycogenin-1 dimer	cytosol	Reactome DB_ID: 453345	SmallMolecule89	
Complex102	glycogen-glycogenin-2 dimer	cytosol	Reactome DB_ID: 453240	SmallMolecule89	
Complex102	glycogen-glycogenin-2 dimer	cytosol	Reactome DB_ID: 453240	Protein132	
Complex103	limit dextrin-glycogenin-2 dimer	cytosol	Reactome DB_ID: 453330	SmallMolecule89	
Complex103	limit dextrin-glycogenin-2 dimer	cytosol	Reactome DB_ID: 453330	Protein168	
Complex106	((1,6)-alpha-glucosyl)poly((1,4)-alpha-glucosyl)glycogenin-1 dimer	cytosol	Reactome DB_ID: 453360	SmallMolecule89	
Complex106	((1,6)-alpha-glucosyl)poly((1,4)-alpha-glucosyl)glycogenin-1 dimer	cytosol	Reactome DB_ID: 453360	Protein169	
Complex107	((1,6)-alpha-glucosyl)poly((1,4)-alpha-glucosyl)glycogenin-2 dimer	cytosol	Reactome DB_ID: 453365	Protein170	
Complex107	((1,6)-alpha-glucosyl)poly((1,4)-alpha-glucosyl)glycogenin-2 dimer	cytosol	Reactome DB_ID: 453365	SmallMolecule89	
Complex109	poly((1,4)-alpha-glucosyl) glycogenin-1 dimer	cytosol	Reactome DB_ID: 453217	Protein128	
Complex109	poly((1,4)-alpha-glucosyl) glycogenin-1 dimer	cytosol	Reactome DB_ID: 453217	SmallMolecule89	
Complex11	GCK1:GKRP complex	cytosol	Reactome DB_ID: 170827	Protein23	
Complex11	GCK1:GKRP complex	cytosol	Reactome DB_ID: 170827	Protein27	
Complex110	poly((1,4)-alpha-glucosyl) glycogenin-2 dimer	cytosol	Reactome DB_ID: 453216	SmallMolecule89	
Complex110	poly((1,4)-alpha-glucosyl) glycogenin-2 dimer	cytosol	Reactome DB_ID: 453216	Protein129	
Complex111	GYG1 dimer	cytosol	Reactome DB_ID: 70203	Protein120	
Complex111	GYG1 dimer	cytosol	Reactome DB_ID: 70203	SmallMolecule89	
Complex112	GYG2 dimer	cytosol	Reactome DB_ID: 70214	Protein125	
Complex112	GYG2 dimer	cytosol	Reactome DB_ID: 70214	SmallMolecule89	
Complex113	KHK dimer	cytosol	Reactome DB_ID: 3006523	Protein172	
Complex114	GALE dimer	cytosol	Reactome DB_ID: 70363	Protein175	
Complex114	GALE dimer	cytosol	Reactome DB_ID: 70363	SmallMolecule40	
Complex116	G6PD dimer	cytosol	Reactome DB_ID: 70373	SmallMolecule93	
Complex116	G6PD dimer	cytosol	Reactome DB_ID: 70373	Protein176	
Complex117	G6PD tetramer	cytosol	Reactome DB_ID: 70375	SmallMolecule93	
Complex117	G6PD tetramer	cytosol	Reactome DB_ID: 70375	Protein176	
Complex118	PGD dimer	cytosol	Reactome DB_ID: 467365	Protein178	
Complex119	RPE dimer	cytosol	Reactome DB_ID: 467361	Protein179	
Complex12	GCK1:GKRP complex	nucleoplasm	Reactome DB_ID: 170804	Protein28	
Complex12	GCK1:GKRP complex	nucleoplasm	Reactome DB_ID: 170804	Protein29	
Complex120	transketolase dimer	cytosol	Reactome DB_ID: 71322	Protein180	
Complex120	transketolase dimer	cytosol	Reactome DB_ID: 71322	SmallMolecule101	
Complex120	transketolase dimer	cytosol	Reactome DB_ID: 71322	SmallMolecule45	
Complex121	phosphoribosyl pyrophosphate synthetase 1 holoenzyme	cytosol	Reactome DB_ID: 73485	Protein183	
Complex123	phosphoriboyl pyrophosphate synthetase 1-like 1 putative holoenzyme	cytosol	Reactome DB_ID: 189817	Protein184	
Complex124	phosphoriboyl pyrophosphate synthetase 2 putative holoenzyme	cytosol	Reactome DB_ID: 189814	Protein185	
Complex125	HA:HAR:HYAL2	plasma membrane	Reactome DB_ID: 2160889	Protein191	
Complex125	HA:HAR:HYAL2	plasma membrane	Reactome DB_ID: 2160889	PhysicalEntity5	
Complex125	HA:HAR:HYAL2	plasma membrane	Reactome DB_ID: 2160889	Protein196	
Complex126	HA:HAR:HYAL2:SLC9A1	plasma membrane	Reactome DB_ID: 2160891	Protein197	
Complex126	HA:HAR:HYAL2:SLC9A1	plasma membrane	Reactome DB_ID: 2160891	Protein191	
Complex126	HA:HAR:HYAL2:SLC9A1	plasma membrane	Reactome DB_ID: 2160891	PhysicalEntity5	
Complex126	HA:HAR:HYAL2:SLC9A1	plasma membrane	Reactome DB_ID: 2160891	Protein196	
Complex127	GUSB tetramer	lysosomal lumen	Reactome DB_ID: 1678867	Protein201	
Complex129	HEXA	lysosomal lumen	Reactome DB_ID: 1605656	Protein202	
Complex129	HEXA	lysosomal lumen	Reactome DB_ID: 1605656	Protein203	
Complex129	HEXA	lysosomal lumen	Reactome DB_ID: 1605656	Protein204	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein30	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein31	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein32	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein33	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein34	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein35	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Complex14	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Complex15	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein45	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein46	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein47	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein50	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein51	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein52	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein53	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein54	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein55	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein56	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein57	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein58	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein59	
Complex13	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein60	
Complex130	bHEXB	lysosomal lumen	Reactome DB_ID: 1605749	Protein202	
Complex130	bHEXB	lysosomal lumen	Reactome DB_ID: 1605749	Protein203	
Complex132	B4GALT1 homodimer	Golgi membrane	Reactome DB_ID: 975900	Protein231	
Complex133	B4GALT2 homodimer	Golgi membrane	Reactome DB_ID: 975923	Protein232	
Complex134	B4GALT3 homodimer	Golgi membrane	Reactome DB_ID: 975924	Protein233	
Complex135	B4GALT4 homodimer	Golgi membrane	Reactome DB_ID: 975909	Protein234	
Complex136	B4GALT5 homodimer	Golgi membrane	Reactome DB_ID: 1015827	Protein235	
Complex137	B4GALT6 homodimer	Golgi membrane	Reactome DB_ID: 1015817	Protein236	
Complex139	B3GAT1 dimer	Golgi membrane	Reactome DB_ID: 1889998	SmallMolecule140	
Complex139	B3GAT1 dimer	Golgi membrane	Reactome DB_ID: 1889998	Protein435	
Complex14	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein36	
Complex14	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein37	
Complex14	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein38	
Complex14	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein39	
Complex140	B3GAT2 dimer	Golgi membrane	Reactome DB_ID: 1889973	Protein436	
Complex140	B3GAT2 dimer	Golgi membrane	Reactome DB_ID: 1889973	SmallMolecule140	
Complex141	B3GAT3 dimer	Golgi membrane	Reactome DB_ID: 1889995	SmallMolecule140	
Complex141	B3GAT3 dimer	Golgi membrane	Reactome DB_ID: 1889995	Protein437	
Complex142	EXT1:EXT2	Golgi membrane	Reactome DB_ID: 2022878	Protein452	
Complex142	EXT1:EXT2	Golgi membrane	Reactome DB_ID: 2022878	Protein453	
Complex143	HPSE dimer	lysosomal lumen	Reactome DB_ID: 1666976	Protein709	
Complex143	HPSE dimer	lysosomal lumen	Reactome DB_ID: 1666976	Protein710	
Complex144	IDS dimer	lysosomal lumen	Reactome DB_ID: 1678638	Protein728	
Complex144	IDS dimer	lysosomal lumen	Reactome DB_ID: 1678638	Protein729	
Complex144	IDS dimer	lysosomal lumen	Reactome DB_ID: 1678638	SmallMolecule152	
Complex145	ARSB:Ca2+	lysosomal lumen	Reactome DB_ID: 1606792	SmallMolecule152	
Complex145	ARSB:Ca2+	lysosomal lumen	Reactome DB_ID: 1606792	Protein930	
Complex15	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein40	
Complex15	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein41	
Complex15	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein42	
Complex15	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein43	
Complex15	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein44	
Complex16	glucose 6-phosphate isomerase dimer	cytosol	Reactome DB_ID: 70469	Protein65	
Complex17	pPF2K-Pase complex	cytosol	Reactome DB_ID: 163745	Protein66	
Complex18	PFKFB1 dimer	cytosol	Reactome DB_ID: 71786	Protein67	
Complex19	PP2A-ABdeltaC complex	cytosol	Reactome DB_ID: 165961	Protein68	
Complex19	PP2A-ABdeltaC complex	cytosol	Reactome DB_ID: 165961	Protein71	
Complex19	PP2A-ABdeltaC complex	cytosol	Reactome DB_ID: 165961	Protein74	
Complex2	sucrase-isomaltase	plasma membrane	Reactome DB_ID: 189115	Protein6	
Complex2	sucrase-isomaltase	plasma membrane	Reactome DB_ID: 189115	Protein7	
Complex21	PFKFB2 dimer	cytosol	Reactome DB_ID: 71791	Protein75	
Complex22	PFKFB3 dimer	cytosol	Reactome DB_ID: 71795	Protein76	
Complex23	PFKFB4 dimer	cytosol	Reactome DB_ID: 71799	Protein77	
Complex25	phosphofructokinase, L4 complex	cytosol	Reactome DB_ID: 70465	Protein78	
Complex26	phosphofructokinase, M2L2 complex	cytosol	Reactome DB_ID: 70463	Protein78	
Complex26	phosphofructokinase, M2L2 complex	cytosol	Reactome DB_ID: 70463	Protein79	
Complex27	phosphofructokinase, M3L complex	cytosol	Reactome DB_ID: 71475	Protein78	
Complex27	phosphofructokinase, M3L complex	cytosol	Reactome DB_ID: 71475	Protein79	
Complex28	phosphofructokinase, ML3 complex	cytosol	Reactome DB_ID: 70461	Protein78	
Complex28	phosphofructokinase, ML3 complex	cytosol	Reactome DB_ID: 70461	Protein79	
Complex29	phosphofructokinase, M4 complex	cytosol	Reactome DB_ID: 71483	Protein79	
Complex3	MGAM dimer	plasma membrane	Reactome DB_ID: 189009	Protein8	
Complex30	phosphofructokinase, P4 complex	cytosol	Reactome DB_ID: 71453	Protein80	
Complex31	phosphofructokinase, P3L complex	cytosol	Reactome DB_ID: 179514	Protein78	
Complex31	phosphofructokinase, P3L complex	cytosol	Reactome DB_ID: 179514	Protein80	
Complex32	phosphofructokinase, P2L2 complex	cytosol	Reactome DB_ID: 179516	Protein78	
Complex32	phosphofructokinase, P2L2 complex	cytosol	Reactome DB_ID: 179516	Protein80	
Complex33	phosphofructokinase, PL3 complex	cytosol	Reactome DB_ID: 179515	Protein78	
Complex33	phosphofructokinase, PL3 complex	cytosol	Reactome DB_ID: 179515	Protein80	
Complex35	fructose-bisphosphate aldolase A, class I holoenzyme	cytosol	Reactome DB_ID: 71493	Protein81	
Complex36	ALDOB tetramer	cytosol	Reactome DB_ID: 70340	Protein82	
Complex37	fructose-bisphosphate aldolase C, class I holoenzyme	cytosol	Reactome DB_ID: 70456	Protein83	
Complex38	triosephosphate isomerase dimer	cytosol	Reactome DB_ID: 70452	Protein84	
Complex4	LCT dimer	plasma membrane	Reactome DB_ID: 189026	Protein9	
Complex40	glyceraldehyde-3-phosphate dehydrogenase tetramer	cytosol	Reactome DB_ID: 70447	Protein85	
Complex41	glyceraldehyde-3-phosphate dehydrogenase, testis-specific, tetramer	cytosol	Reactome DB_ID: 372869	Protein86	
Complex42	phosphoglycerate kinase 1 complex	cytosol	Reactome DB_ID: 70484	Protein87	
Complex42	phosphoglycerate kinase 1 complex	cytosol	Reactome DB_ID: 70484	SmallMolecule45	
Complex44	phosphoglycerate mutase 1 dimer	cytosol	Reactome DB_ID: 71443	Protein88	
Complex45	phosphoglycerate mutase 2 dimer	cytosol	Reactome DB_ID: 70488	Protein89	
Complex47	enolase 1 dimer, (alpha)	cytosol	Reactome DB_ID: 71438	SmallMolecule45	
Complex47	enolase 1 dimer, (alpha)	cytosol	Reactome DB_ID: 71438	Protein90	
Complex48	enolase 2 dimer, (gamma, neuronal)	cytosol	Reactome DB_ID: 71430	Protein91	
Complex48	enolase 2 dimer, (gamma, neuronal)	cytosol	Reactome DB_ID: 71430	SmallMolecule45	
Complex49	enolase 3 dimer, (beta, muscle)	cytosol	Reactome DB_ID: 71434	SmallMolecule45	
Complex49	enolase 3 dimer, (beta, muscle)	cytosol	Reactome DB_ID: 71434	Protein92	
Complex5	GLUT2 tetramer	plasma membrane	Reactome DB_ID: 70422	Protein18	
Complex51	pyruvate kinase M1 complex	cytosol	Reactome DB_ID: 450663	SmallMolecule45	
Complex51	pyruvate kinase M1 complex	cytosol	Reactome DB_ID: 450663	Protein93	
Complex51	pyruvate kinase M1 complex	cytosol	Reactome DB_ID: 450663	SmallMolecule49	
Complex52	pyruvate kinase M2 complex	cytosol	Reactome DB_ID: 71668	Protein94	
Complex52	pyruvate kinase M2 complex	cytosol	Reactome DB_ID: 71668	SmallMolecule45	
Complex52	pyruvate kinase M2 complex	cytosol	Reactome DB_ID: 71668	SmallMolecule49	
Complex53	pyruvate kinase complex, liver and RBC	cytosol	Reactome DB_ID: 70098	SmallMolecule45	
Complex53	pyruvate kinase complex, liver and RBC	cytosol	Reactome DB_ID: 70098	Protein95	
Complex53	pyruvate kinase complex, liver and RBC	cytosol	Reactome DB_ID: 70098	SmallMolecule49	
Complex54	pyruvate carboxylase holoenzyme	mitochondrial matrix	Reactome DB_ID: 70499	SmallMolecule59	
Complex54	pyruvate carboxylase holoenzyme	mitochondrial matrix	Reactome DB_ID: 70499	SmallMolecule60	
Complex54	pyruvate carboxylase holoenzyme	mitochondrial matrix	Reactome DB_ID: 70499	Protein98	
Complex55	malate dehydrogenase 2 dimer	mitochondrial matrix	Reactome DB_ID: 198511	Protein99	
Complex56	malate dehydrogenase 1 dimer	cytosol	Reactome DB_ID: 198437	Protein101	
Complex57	GOT2 dimer	mitochondrial matrix	Reactome DB_ID: 70594	Protein102	
Complex58	SLC25A11 homodimer	mitochondrial inner membrane	Reactome DB_ID: 376856	Protein103	
Complex59	GOT1 dimer	cytosol	Reactome DB_ID: 70579	SmallMolecule74	
Complex59	GOT1 dimer	cytosol	Reactome DB_ID: 70579	Protein107	
Complex61	FBP1 tetramer	cytosol	Reactome DB_ID: 70477	SmallMolecule45	
Complex61	FBP1 tetramer	cytosol	Reactome DB_ID: 70477	Protein111	
Complex62	FBP2 tetramer	cytosol	Reactome DB_ID: 2267351	SmallMolecule45	
Complex62	FBP2 tetramer	cytosol	Reactome DB_ID: 2267351	Protein112	
Complex64	PGM1:Mg++	cytosol	Reactome DB_ID: 70218	Protein117	
Complex64	PGM1:Mg++	cytosol	Reactome DB_ID: 70218	SmallMolecule45	
Complex65	PGM2:Mg++	cytosol	Reactome DB_ID: 453137	Protein118	
Complex65	PGM2:Mg++	cytosol	Reactome DB_ID: 453137	SmallMolecule45	
Complex66	8xUGP2	cytosol	Reactome DB_ID: 70281	Protein119	
Complex67	GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322050	Protein120	
Complex67	GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322050	SmallMolecule45	
Complex67	GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322050	Protein121	
Complex68	oligoGlc-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322035	SmallMolecule45	
Complex68	oligoGlc-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322035	Protein122	
Complex68	oligoGlc-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322035	Protein121	
Complex69	GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322062	Protein120	
Complex69	GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322062	SmallMolecule45	
