Complex1	Apo-GP96 dimer	endoplasmic reticulum lumen	Reactome DB_ID: 1678941	Protein6	
Complex10	FL-TLR8 dimer	Golgi membrane	Reactome DB_ID: 1678996	Protein12	
Complex11	FL-TLR9:FL-TLR9	Golgi membrane	Reactome DB_ID: 1679083	Protein13	
Complex12	TLR8 dimer	endolysosome membrane	Reactome DB_ID: 188165	Protein15	
Complex13	FL-TLR7 dimer	endolysosome membrane	Reactome DB_ID: 188168	Protein16	
Complex14	FL-TLR9 dimer	endolysosome membrane	Reactome DB_ID: 1679073	Protein17	
Complex15	C-ter-TLR9 dimer	endolysosome membrane	Reactome DB_ID: 1678956	Protein18	
Complex16	C-ter TLR7 dimer	endolysosome membrane	Reactome DB_ID: 1678924	Protein19	
Complex17	Cathepsin L1	endolysosome lumen	Reactome DB_ID: 1678983	Protein20	
Complex17	Cathepsin L1	endolysosome lumen	Reactome DB_ID: 1678983	Protein21	
Complex18	N-ter TLR9 dimer	endolysosome membrane	Reactome DB_ID: 1679007	Protein26	
Complex2	ATP-bound Gp96 dimer:CNPY3:TLR7/8/9	endoplasmic reticulum membrane	Reactome DB_ID: 1679076	Protein1	
Complex2	ATP-bound Gp96 dimer:CNPY3:TLR7/8/9	endoplasmic reticulum membrane	Reactome DB_ID: 1679076	Protein2	
Complex2	ATP-bound Gp96 dimer:CNPY3:TLR7/8/9	endoplasmic reticulum membrane	Reactome DB_ID: 1679076	SmallMolecule1	
Complex2	ATP-bound Gp96 dimer:CNPY3:TLR7/8/9	endoplasmic reticulum membrane	Reactome DB_ID: 1679076	Protein6	
Complex4	FL-TLR7 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1678995	Protein3	
Complex5	FL-TLR8 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1678913	Protein5	
Complex6	FL-TLR9 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1678978	Protein4	
Complex7	intracellular TLR:UNC93B1	endoplasmic reticulum membrane	Reactome DB_ID: 1678926	Protein7	
Complex7	intracellular TLR:UNC93B1	endoplasmic reticulum membrane	Reactome DB_ID: 1678926	PhysicalEntity1	
Complex8	intracellular TLR:UNC93B1	Golgi membrane	Reactome DB_ID: 1679067	Protein9	
Complex8	intracellular TLR:UNC93B1	Golgi membrane	Reactome DB_ID: 1679067	PhysicalEntity2	
Complex9	FL-TLR7 dimer	Golgi membrane	Reactome DB_ID: 1679085	Protein11	
