PathwayStep1	PathwayStep2	
PathwayStep2	PathwayStep3	
PathwayStep3	PathwayStep24	
PathwayStep3	PathwayStep30	
PathwayStep3	PathwayStep29	
PathwayStep3	PathwayStep41	
PathwayStep3	PathwayStep32	
PathwayStep3	PathwayStep45	
PathwayStep3	PathwayStep37	
PathwayStep3	PathwayStep17	
PathwayStep3	PathwayStep13	
PathwayStep3	PathwayStep39	
PathwayStep3	PathwayStep10	
PathwayStep3	PathwayStep16	
PathwayStep3	PathwayStep42	
PathwayStep3	PathwayStep28	
PathwayStep3	PathwayStep46	
PathwayStep3	PathwayStep20	
PathwayStep3	PathwayStep40	
PathwayStep3	PathwayStep8	
PathwayStep3	PathwayStep22	
PathwayStep3	PathwayStep5	
PathwayStep3	PathwayStep14	
PathwayStep3	PathwayStep23	
PathwayStep3	PathwayStep25	
PathwayStep3	PathwayStep36	
PathwayStep3	PathwayStep26	
PathwayStep3	PathwayStep33	
PathwayStep3	PathwayStep21	
PathwayStep3	PathwayStep9	
PathwayStep3	PathwayStep19	
PathwayStep3	PathwayStep6	
PathwayStep3	PathwayStep7	
PathwayStep3	PathwayStep43	
PathwayStep3	PathwayStep34	
PathwayStep3	PathwayStep44	
PathwayStep3	PathwayStep15	
PathwayStep3	PathwayStep27	
PathwayStep3	PathwayStep31	
PathwayStep3	PathwayStep4	
PathwayStep38	PathwayStep1	
