PathwayStep1	PathwayStep2	
PathwayStep13	PathwayStep14	
PathwayStep14	PathwayStep15	
PathwayStep15	PathwayStep16	
PathwayStep16	PathwayStep17	
PathwayStep17	PathwayStep18	
PathwayStep18	PathwayStep58	
PathwayStep18	PathwayStep50	
PathwayStep18	PathwayStep21	
PathwayStep18	PathwayStep42	
PathwayStep18	PathwayStep40	
PathwayStep18	PathwayStep46	
PathwayStep18	PathwayStep28	
PathwayStep18	PathwayStep24	
PathwayStep18	PathwayStep36	
PathwayStep18	PathwayStep29	
PathwayStep18	PathwayStep60	
PathwayStep18	PathwayStep26	
PathwayStep18	PathwayStep35	
PathwayStep18	PathwayStep45	
PathwayStep18	PathwayStep53	
PathwayStep18	PathwayStep32	
PathwayStep18	PathwayStep31	
PathwayStep18	PathwayStep49	
PathwayStep18	PathwayStep22	
PathwayStep18	PathwayStep20	
PathwayStep18	PathwayStep38	
PathwayStep18	PathwayStep27	
PathwayStep18	PathwayStep51	
PathwayStep18	PathwayStep19	
PathwayStep18	PathwayStep61	
PathwayStep18	PathwayStep57	
PathwayStep18	PathwayStep34	
PathwayStep18	PathwayStep52	
PathwayStep18	PathwayStep59	
PathwayStep18	PathwayStep23	
PathwayStep18	PathwayStep30	
PathwayStep18	PathwayStep48	
PathwayStep18	PathwayStep54	
PathwayStep18	PathwayStep25	
PathwayStep18	PathwayStep63	
PathwayStep18	PathwayStep33	
PathwayStep18	PathwayStep39	
PathwayStep18	PathwayStep62	
PathwayStep18	PathwayStep44	
PathwayStep18	PathwayStep56	
PathwayStep18	PathwayStep43	
PathwayStep18	PathwayStep37	
PathwayStep18	PathwayStep55	
PathwayStep18	PathwayStep47	
PathwayStep18	PathwayStep41	
PathwayStep2	PathwayStep3	
PathwayStep3	PathwayStep4	
PathwayStep4	PathwayStep5	
PathwayStep5	PathwayStep6	
PathwayStep5	PathwayStep10	
PathwayStep5	PathwayStep7	
PathwayStep5	PathwayStep9	
PathwayStep5	PathwayStep8	
PathwayStep66	PathwayStep67	
PathwayStep67	PathwayStep68	
PathwayStep68	PathwayStep69	
PathwayStep69	PathwayStep73	
PathwayStep69	PathwayStep71	
PathwayStep69	PathwayStep72	
PathwayStep69	PathwayStep75	
PathwayStep69	PathwayStep7	
PathwayStep69	PathwayStep70	
PathwayStep69	PathwayStep74	
