PhysicalEntity1	rDNA Promoter	nucleoplasm	Reactome DB_ID: 73682	NA	
PhysicalEntity2	dsDNA with 5-mC	nucleoplasm	Reactome DB_ID: 212172	NA	
PhysicalEntity3	Sal Box	nucleoplasm	Reactome DB_ID: 74975	NA	
PhysicalEntity4	elongating pre-rRNA transcript	nucleoplasm	Reactome DB_ID: 74985	NA	
PhysicalEntity5	DNA	nucleoplasm	Reactome DB_ID: 29428	NA	
PhysicalEntity6	nascent pre-rRNA transcript	nucleoplasm	Reactome DB_ID: 74978	NA	
Protein2	Histone H3	nucleoplasm	Reactome DB_ID: 212293	Protein3	
Protein2	Histone H3	nucleoplasm	Reactome DB_ID: 212293	Protein4	
Protein2	Histone H3	nucleoplasm	Reactome DB_ID: 212293	Protein5	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein22	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein23	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein24	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein25	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein26	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein27	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein28	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein29	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein30	
Protein38	PCAF	nucleoplasm	Reactome DB_ID: 350078	Protein39	
Protein38	PCAF	nucleoplasm	Reactome DB_ID: 350078	Protein40	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein7	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein8	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein9	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein10	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein11	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein12	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein13	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein14	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein15	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein16	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein17	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein18	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein19	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein20	
Protein60	Histone H3 dimethylated at lysine-9	nucleoplasm	Reactome DB_ID: 427406	Protein61	
Protein60	Histone H3 dimethylated at lysine-9	nucleoplasm	Reactome DB_ID: 427406	Protein62	
Protein60	Histone H3 dimethylated at lysine-9	nucleoplasm	Reactome DB_ID: 427406	Protein63	
SmallMolecule3	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule1	
SmallMolecule3	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule4	
SmallMolecule3	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule5	
SmallMolecule3	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule6	
