Complex1	dimeric ATM kinase	nucleoplasm	Reactome DB_ID: 83538	Protein1	
Complex10	MRN	nucleoplasm	Reactome DB_ID: 75164	Protein12	
Complex10	MRN	nucleoplasm	Reactome DB_ID: 75164	Protein13	
Complex10	MRN	nucleoplasm	Reactome DB_ID: 75164	Protein8	
Complex11	DNA double-strand break ends: MRN complex	nucleoplasm	Reactome DB_ID: 75166	Complex10	
Complex11	DNA double-strand break ends: MRN complex	nucleoplasm	Reactome DB_ID: 75166	Protein8	
Complex11	DNA double-strand break ends: MRN complex	nucleoplasm	Reactome DB_ID: 75166	Protein4	
Complex11	DNA double-strand break ends: MRN complex	nucleoplasm	Reactome DB_ID: 75166	PhysicalEntity1	
Complex12	BRCA1:53BP1 complex at site of DNA double-strand break	nucleoplasm	Reactome DB_ID: 110402	Protein5	
Complex12	BRCA1:53BP1 complex at site of DNA double-strand break	nucleoplasm	Reactome DB_ID: 110402	Complex7	
Complex13	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein14	
Complex13	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein15	
Complex13	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein16	
Complex14	RPA-coated 3'-ends of DNA double strand break	nucleoplasm	Reactome DB_ID: 75993	PhysicalEntity3	
Complex14	RPA-coated 3'-ends of DNA double strand break	nucleoplasm	Reactome DB_ID: 75993	Complex13	
Complex15	RAD51:BRCA2 complex	nucleoplasm	Reactome DB_ID: 83621	Protein17	
Complex15	RAD51:BRCA2 complex	nucleoplasm	Reactome DB_ID: 83621	Protein18	
Complex16	heptameric RAD52 complex associated with ssDNA	nucleoplasm	Reactome DB_ID: 83900	Complex14	
Complex16	heptameric RAD52 complex associated with ssDNA	nucleoplasm	Reactome DB_ID: 83900	Complex17	
Complex17	heptameric RAD52 complex	nucleoplasm	Reactome DB_ID: 83899	Protein19	
Complex18	RAD52:RPA complex	nucleoplasm	Reactome DB_ID: 83620	Complex13	
