Complex10	MCT3 homodimer	plasma membrane	Reactome DB_ID: 374006	Protein4	
Complex11	MCT4 homodimer	plasma membrane	Reactome DB_ID: 374004	Protein5	
Complex12	MPC1:MPC2	mitochondrial inner membrane	Reactome DB_ID: 2512902	Protein7	
Complex12	MPC1:MPC2	mitochondrial inner membrane	Reactome DB_ID: 2512902	Protein8	
Complex13	pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70070	Complex14	
Complex13	pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70070	Protein11	
Complex13	pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70070	Complex15	
Complex13	pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70070	Complex16	
Complex14	pyruvate dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 69968	Protein9	
Complex14	pyruvate dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 69968	SmallMolecule15	
Complex14	pyruvate dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 69968	Protein10	
Complex15	pyruvate dehydrogenase E2 trimer	mitochondrial matrix	Reactome DB_ID: 69971	Protein12	
Complex16	alpha-keto acid dehydrogenase E3 homodimer	mitochondrial matrix	Reactome DB_ID: 69980	Complex17	
Complex17	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	Protein13	
Complex17	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	SmallMolecule16	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Complex14	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Complex19	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Protein11	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Complex15	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Complex16	
Complex19	Inactive PDHE1 complex	mitochondrial matrix	Reactome DB_ID: 204168	Complex14	
Complex19	Inactive PDHE1 complex	mitochondrial matrix	Reactome DB_ID: 204168	SmallMolecule15	
Complex2	lactate dehydrogenase A2B2 complex	cytosol	Reactome DB_ID: 70513	Protein1	
Complex2	lactate dehydrogenase A2B2 complex	cytosol	Reactome DB_ID: 70513	Protein2	
Complex21	PDP1 complex	mitochondrial matrix	Reactome DB_ID: 204162	Protein19	
Complex21	PDP1 complex	mitochondrial matrix	Reactome DB_ID: 204162	Complex22	
Complex22	PDPr:FAD	mitochondrial matrix	Reactome DB_ID: 210347	Protein20	
Complex22	PDPr:FAD	mitochondrial matrix	Reactome DB_ID: 210347	SmallMolecule16	
Complex23	PDP2 complex	mitochondrial matrix	Reactome DB_ID: 204218	Complex22	
Complex23	PDP2 complex	mitochondrial matrix	Reactome DB_ID: 204218	Protein21	
Complex3	lactate dehydrogenase A3B complex	cytosol	Reactome DB_ID: 70504	Protein1	
Complex3	lactate dehydrogenase A3B complex	cytosol	Reactome DB_ID: 70504	Protein2	
Complex4	lactate dehydrogenase A4 complex	cytosol	Reactome DB_ID: 70508	Protein2	
Complex5	lactate dehydrogenase AB3 complex	cytosol	Reactome DB_ID: 70506	Protein1	
Complex5	lactate dehydrogenase AB3 complex	cytosol	Reactome DB_ID: 70506	Protein2	
Complex6	lactate dehydrogenase B4 complex	cytosol	Reactome DB_ID: 70516	Protein1	
Complex7	Basigin bound to MCTs	plasma membrane	Reactome DB_ID: 204396	Complex8	
Complex7	Basigin bound to MCTs	plasma membrane	Reactome DB_ID: 204396	Protein6	
Complex9	MCT1 homodimer	plasma membrane	Reactome DB_ID: 374001	Protein3	
