Rna1	HIV-1 RNA	NA	Reactome DB_ID: 175178	extracellular region	
Rna10	Spliced Env mRNA	NA	Reactome DB_ID: 187215	cytosol	
Rna2	HIV-1 RNA template	NA	Reactome DB_ID: 173654	cytosol	
Rna3	other viral genomic RNA	NA	Reactome DB_ID: 173808	cytosol	
Rna4	viral RNA template degraded by RNase-H (initial)	NA	Reactome DB_ID: 173829	cytosol	
Rna5	viral RNA template being digested by RNase-H (extensive)	NA	Reactome DB_ID: 173794	cytosol	
Rna6	viral RNA template extensively digested except in PPT region	NA	Reactome DB_ID: 173819	cytosol	
Rna7	HIV-1 mRNA	NA	Reactome DB_ID: 165533	nucleoplasm	
Rna8	HIV-1 mRNA	NA	Reactome DB_ID: 165555	cytosol	
Rna9	HIV-1 unspliced RNA	NA	Reactome DB_ID: 187209	cytosol	
SmallMolecule11	CTP	CTP [ChEBI:17677]	Reactome DB_ID: 29470	nucleoplasm	
SmallMolecule12	GTP	GTP [ChEBI:15996]	Reactome DB_ID: 113571	nucleoplasm	
SmallMolecule13	UTP	UTP [ChEBI:15713]	Reactome DB_ID: 113562	nucleoplasm	
SmallMolecule14	PPi	PPi [ChEBI:29888]	Reactome DB_ID: 113541	nucleoplasm	
SmallMolecule15	GDP	GDP [ChEBI:17552]	Reactome DB_ID: 111349	nucleoplasm	
SmallMolecule16	GTP	GTP [ChEBI:15996]	Reactome DB_ID: 29438	cytosol	
SmallMolecule17	GDP	GDP [ChEBI:17552]	Reactome DB_ID: 29420	cytosol	
SmallMolecule18	Pi	Orthophosphate [ChEBI:18367]	Reactome DB_ID: 29372	cytosol	
SmallMolecule19	MYS-CoA	Tetradecanoyl-CoA [ChEBI:15532]	Reactome DB_ID: 184174	cytosol	
SmallMolecule2	dATP	dATP [ChEBI:16284]	Reactome DB_ID: 110644	cytosol	
SmallMolecule20	CoA-SH	CoA [ChEBI:15346]	Reactome DB_ID: 76194	cytosol	
SmallMolecule3	dCTP	dCTP [ChEBI:16311]	Reactome DB_ID: 110660	cytosol	
SmallMolecule4	dGTP	dGTP [ChEBI:16497]	Reactome DB_ID: 110672	cytosol	
SmallMolecule5	TTP	dTTP [ChEBI:18077]	Reactome DB_ID: 110711	cytosol	
SmallMolecule6	PPi	PPi [ChEBI:29888]	Reactome DB_ID: 111294	cytosol	
SmallMolecule7	ATP	ATP [ChEBI:15422]	Reactome DB_ID: 29358	nucleoplasm	
SmallMolecule8	ADP	ADP [ChEBI:16761]	Reactome DB_ID: 113582	nucleoplasm	
SmallMolecule9	Pi	Orthophosphate [ChEBI:18367]	Reactome DB_ID: 113550	nucleoplasm	
