Complex1	14-3-3zeta dimer	cytosol	Reactome DB_ID: 206751	Protein1	
Complex2	GPIb-IX-V:vWF	plasma membrane	Reactome DB_ID: 429541	Complex3	
Complex2	GPIb-IX-V:vWF	plasma membrane	Reactome DB_ID: 429541	Protein6	
Complex3	GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 114668	Protein2	
Complex3	GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 114668	Protein3	
Complex3	GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 114668	Complex4	
Complex4	GPIb	plasma membrane	Reactome DB_ID: 114667	Protein4	
Complex4	GPIb	plasma membrane	Reactome DB_ID: 114667	Protein5	
Complex5	GPIb-IX-V:vWF:14-3-3-zeta	plasma membrane	Reactome DB_ID: 429544	Protein1	
Complex5	GPIb-IX-V:vWF:14-3-3-zeta	plasma membrane	Reactome DB_ID: 429544	Complex2	
Complex6	GPIb-IX-V:vWF:filamin-A	plasma membrane	Reactome DB_ID: 430104	Complex3	
Complex6	GPIb-IX-V:vWF:filamin-A	plasma membrane	Reactome DB_ID: 430104	Protein7	
Complex6	GPIb-IX-V:vWF:filamin-A	plasma membrane	Reactome DB_ID: 430104	Protein6	
Complex7	GPIb-IX-V:vWF:14-3-3-zeta:p85	plasma membrane	Reactome DB_ID: 443399	Complex5	
Complex7	GPIb-IX-V:vWF:14-3-3-zeta:p85	plasma membrane	Reactome DB_ID: 443399	Protein8	
Complex8	Active c-Src:Raf1	cytosol	Reactome DB_ID: 443443	Protein11	
Complex8	Active c-Src:Raf1	cytosol	Reactome DB_ID: 443443	Protein10	
Complex9	14-3-3-zeta:Raf1	cytosol	Reactome DB_ID: 443827	Complex1	
Complex9	14-3-3-zeta:Raf1	cytosol	Reactome DB_ID: 443827	Protein11	
