PathwayStep1	PathwayStep2	
PathwayStep2	PathwayStep3	
PathwayStep3	PathwayStep4	
PathwayStep4	PathwayStep5	
PathwayStep5	PathwayStep6	
PathwayStep6	PathwayStep46	
PathwayStep6	PathwayStep9	
PathwayStep6	PathwayStep38	
PathwayStep6	PathwayStep30	
PathwayStep6	PathwayStep28	
PathwayStep6	PathwayStep34	
PathwayStep6	PathwayStep16	
PathwayStep6	PathwayStep12	
PathwayStep6	PathwayStep24	
PathwayStep6	PathwayStep17	
PathwayStep6	PathwayStep48	
PathwayStep6	PathwayStep14	
PathwayStep6	PathwayStep23	
PathwayStep6	PathwayStep33	
PathwayStep6	PathwayStep41	
PathwayStep6	PathwayStep20	
PathwayStep6	PathwayStep19	
PathwayStep6	PathwayStep37	
PathwayStep6	PathwayStep10	
PathwayStep6	PathwayStep8	
PathwayStep6	PathwayStep26	
PathwayStep6	PathwayStep15	
PathwayStep6	PathwayStep39	
PathwayStep6	PathwayStep7	
PathwayStep6	PathwayStep49	
PathwayStep6	PathwayStep22	
PathwayStep6	PathwayStep45	
PathwayStep6	PathwayStep40	
PathwayStep6	PathwayStep47	
PathwayStep6	PathwayStep11	
PathwayStep6	PathwayStep18	
PathwayStep6	PathwayStep36	
PathwayStep6	PathwayStep42	
PathwayStep6	PathwayStep13	
PathwayStep6	PathwayStep51	
PathwayStep6	PathwayStep21	
PathwayStep6	PathwayStep27	
PathwayStep6	PathwayStep50	
PathwayStep6	PathwayStep32	
PathwayStep6	PathwayStep44	
PathwayStep6	PathwayStep31	
PathwayStep6	PathwayStep25	
PathwayStep6	PathwayStep35	
PathwayStep6	PathwayStep43	
PathwayStep6	PathwayStep29	
