Complex1	Connexin 32 connexon	endoplasmic reticulum membrane	Reactome DB_ID: 190647	Protein19	
Complex11	Junctional channel	plasma membrane	Reactome DB_ID: 191068	Complex10	
Complex12	gap junction plaque	plasma membrane	Reactome DB_ID: 191660	Complex11	
Complex2	Connexin 26:Connexin 32 connexon	endoplasmic reticulum-Golgi intermediate compartment	Reactome DB_ID: 190632	Protein24	
Complex2	Connexin 26:Connexin 32 connexon	endoplasmic reticulum-Golgi intermediate compartment	Reactome DB_ID: 190632	Protein23	
Complex3	Connexin 43 connexon	Golgi membrane	Reactome DB_ID: 190652	Protein25	
Complex4	Connexin 26 Connexon	endoplasmic reticulum-Golgi intermediate compartment	Reactome DB_ID: 190641	Protein23	
Complex5	Connexon 26	plasma membrane	Reactome DB_ID: 112301	Protein26	
Complex6	Connexin 43 connexon in Golgi transport vesicle	Golgi-associated vesicle membrane	Reactome DB_ID: 190583	Protein27	
Complex7	connexons in Golgi transport vesicle docked to microtubules	cytosol	Reactome DB_ID: 190556	Complex6	
Complex7	connexons in Golgi transport vesicle docked to microtubules	cytosol	Reactome DB_ID: 190556	PhysicalEntity1	
Complex8	Docked Cx43-containing transport vesicles	plasma membrane	Reactome DB_ID: 194780	Complex6	
Complex8	Docked Cx43-containing transport vesicles	plasma membrane	Reactome DB_ID: 194780	PhysicalEntity1	
Complex9	Connexin 43  hemi-channel	plasma membrane	Reactome DB_ID: 158053	Protein28	
