Complex1	glucose 6-phosphate isomerase dimer	cytosol	Reactome DB_ID: 70469	Protein1	
Complex10	phosphofructokinase, L4 complex	cytosol	Reactome DB_ID: 70465	Protein14	
Complex11	phosphofructokinase, M2L2 complex	cytosol	Reactome DB_ID: 70463	Protein14	
Complex11	phosphofructokinase, M2L2 complex	cytosol	Reactome DB_ID: 70463	Protein15	
Complex12	phosphofructokinase, M3L complex	cytosol	Reactome DB_ID: 71475	Protein14	
Complex12	phosphofructokinase, M3L complex	cytosol	Reactome DB_ID: 71475	Protein15	
Complex13	phosphofructokinase, ML3 complex	cytosol	Reactome DB_ID: 70461	Protein14	
Complex13	phosphofructokinase, ML3 complex	cytosol	Reactome DB_ID: 70461	Protein15	
Complex14	phosphofructokinase, M4 complex	cytosol	Reactome DB_ID: 71483	Protein15	
Complex15	phosphofructokinase, P4 complex	cytosol	Reactome DB_ID: 71453	Protein16	
Complex16	phosphofructokinase, P3L complex	cytosol	Reactome DB_ID: 179514	Protein14	
Complex16	phosphofructokinase, P3L complex	cytosol	Reactome DB_ID: 179514	Protein16	
Complex17	phosphofructokinase, P2L2 complex	cytosol	Reactome DB_ID: 179516	Protein14	
Complex17	phosphofructokinase, P2L2 complex	cytosol	Reactome DB_ID: 179516	Protein16	
Complex18	phosphofructokinase, PL3 complex	cytosol	Reactome DB_ID: 179515	Protein14	
Complex18	phosphofructokinase, PL3 complex	cytosol	Reactome DB_ID: 179515	Protein16	
Complex2	pPF2K-Pase complex	cytosol	Reactome DB_ID: 163745	Protein2	
Complex20	fructose-bisphosphate aldolase A, class I holoenzyme	cytosol	Reactome DB_ID: 71493	Protein17	
Complex21	ALDOB tetramer	cytosol	Reactome DB_ID: 70340	Protein18	
Complex22	fructose-bisphosphate aldolase C, class I holoenzyme	cytosol	Reactome DB_ID: 70456	Protein19	
Complex23	triosephosphate isomerase dimer	cytosol	Reactome DB_ID: 70452	Protein20	
Complex25	glyceraldehyde-3-phosphate dehydrogenase tetramer	cytosol	Reactome DB_ID: 70447	Protein21	
Complex26	glyceraldehyde-3-phosphate dehydrogenase, testis-specific, tetramer	cytosol	Reactome DB_ID: 372869	Protein22	
Complex27	phosphoglycerate kinase 1 complex	cytosol	Reactome DB_ID: 70484	Protein23	
Complex27	phosphoglycerate kinase 1 complex	cytosol	Reactome DB_ID: 70484	SmallMolecule18	
Complex29	phosphoglycerate mutase 1 dimer	cytosol	Reactome DB_ID: 71443	Protein24	
Complex3	PFKFB1 dimer	cytosol	Reactome DB_ID: 71786	Protein3	
Complex30	phosphoglycerate mutase 2 dimer	cytosol	Reactome DB_ID: 70488	Protein25	
Complex32	enolase 1 dimer, (alpha)	cytosol	Reactome DB_ID: 71438	SmallMolecule18	
Complex32	enolase 1 dimer, (alpha)	cytosol	Reactome DB_ID: 71438	Protein26	
Complex33	enolase 2 dimer, (gamma, neuronal)	cytosol	Reactome DB_ID: 71430	Protein27	
Complex33	enolase 2 dimer, (gamma, neuronal)	cytosol	Reactome DB_ID: 71430	SmallMolecule18	
Complex34	enolase 3 dimer, (beta, muscle)	cytosol	Reactome DB_ID: 71434	SmallMolecule18	
