BiochemicalReaction1	Rhodopsin activation	Complex1	Complex2	
BiochemicalReaction10	NMT1/2 transfer MYS to GNAT1	SmallMolecule16	Protein6	
BiochemicalReaction10	NMT1/2 transfer MYS to GNAT1	Protein16	Protein6	
BiochemicalReaction10	NMT1/2 transfer MYS to GNAT1	Protein16	SmallMolecule17	
BiochemicalReaction10	NMT1/2 transfer MYS to GNAT1	SmallMolecule16	SmallMolecule17	
BiochemicalReaction11	FNTA:FNTB transfers FARN to GNGT1	SmallMolecule18	Protein7	
BiochemicalReaction11	FNTA:FNTB transfers FARN to GNGT1	Protein22	Protein7	
BiochemicalReaction11	FNTA:FNTB transfers FARN to GNGT1	Protein22	SmallMolecule19	
BiochemicalReaction11	FNTA:FNTB transfers FARN to GNGT1	SmallMolecule18	SmallMolecule19	
BiochemicalReaction12	Unknown NAT N-acylates Gly in GNAT1	SmallMolecule20	SmallMolecule17	
BiochemicalReaction12	Unknown NAT N-acylates Gly in GNAT1	Protein16	SmallMolecule17	
BiochemicalReaction12	Unknown NAT N-acylates Gly in GNAT1	Protein16	Protein25	
BiochemicalReaction12	Unknown NAT N-acylates Gly in GNAT1	SmallMolecule20	Protein25	
BiochemicalReaction13	GRK1 phosphorylates MII to p-MII	Complex2	SmallMolecule25	
BiochemicalReaction13	GRK1 phosphorylates MII to p-MII	SmallMolecule24	SmallMolecule25	
BiochemicalReaction13	GRK1 phosphorylates MII to p-MII	SmallMolecule24	Complex16	
BiochemicalReaction13	GRK1 phosphorylates MII to p-MII	Complex2	Complex16	
BiochemicalReaction14	RCVRN:Ca2+ binds to and inhibits GRK1	Protein27	Complex18	
BiochemicalReaction14	RCVRN:Ca2+ binds to and inhibits GRK1	Complex17	Complex18	
BiochemicalReaction15	SAG binds p-MII to form p-MII:SAG	Complex16	Complex19	
BiochemicalReaction15	SAG binds p-MII to form p-MII:SAG	Protein29	Complex19	
BiochemicalReaction16	atRAL dissociates from p-MII:SAG	Complex19	Complex20	
