Complex1	CD28 homodimer	plasma membrane	Reactome DB_ID: 179780	Protein1	
Complex10	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex9	
Complex10	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex6	
Complex11	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	Protein19	
Complex11	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	SmallMolecule4	
Complex12	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	Protein24	
Complex12	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	SmallMolecule4	
Complex13	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	Protein28	
Complex13	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	SmallMolecule4	
Complex14	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein32	
Complex14	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein33	
Complex14	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein34	
Complex14	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein35	
Complex15	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Protein36	
Complex15	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Complex12	
Complex16	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex11	
Complex16	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex13	
Complex17	CD28:Grb2	plasma membrane	Reactome DB_ID: 388786	Complex6	
Complex17	CD28:Grb2	plasma membrane	Reactome DB_ID: 388786	Protein47	
Complex18	Vav1 bound to PIP3 and Grb2:CD28	plasma membrane	Reactome DB_ID: 389334	Complex17	
Complex18	Vav1 bound to PIP3 and Grb2:CD28	plasma membrane	Reactome DB_ID: 389334	Protein48	
Complex18	Vav1 bound to PIP3 and Grb2:CD28	plasma membrane	Reactome DB_ID: 389334	SmallMolecule4	
Complex19	pVav1:PIP3:Grb2:CD28	plasma membrane	Reactome DB_ID: 389332	Complex17	
Complex19	pVav1:PIP3:Grb2:CD28	plasma membrane	Reactome DB_ID: 389332	Protein49	
Complex19	pVav1:PIP3:Grb2:CD28	plasma membrane	Reactome DB_ID: 389332	SmallMolecule4	
Complex2	CD80 (B7-1) homodimer	plasma membrane	Reactome DB_ID: 179787	Protein2	
Complex20	RAC1-GDP	cytosol	Reactome DB_ID: 445010	SmallMolecule6	
Complex20	RAC1-GDP	cytosol	Reactome DB_ID: 445010	Protein50	
Complex21	RAC1-GTP	cytosol	Reactome DB_ID: 442641	SmallMolecule5	
Complex21	RAC1-GTP	cytosol	Reactome DB_ID: 442641	Protein50	
Complex22	CDC42:GDP	cytosol	Reactome DB_ID: 418830	Protein51	
Complex22	CDC42:GDP	cytosol	Reactome DB_ID: 418830	SmallMolecule6	
Complex23	CDC42:GTP	cytosol	Reactome DB_ID: 182921	Protein51	
Complex23	CDC42:GTP	cytosol	Reactome DB_ID: 182921	SmallMolecule5	
Complex24	PAK homodimer	cytosol	Reactome DB_ID: 399856	Protein52	
Complex26	PAK bound to Rac1 and Cdc42	cytosol	Reactome DB_ID: 389782	Complex25	
Complex26	PAK bound to Rac1 and Cdc42	cytosol	Reactome DB_ID: 389782	Protein52	
Complex3	CD28:B7-1	plasma membrane	Reactome DB_ID: 388767	Complex1	
Complex3	CD28:B7-1	plasma membrane	Reactome DB_ID: 388767	Complex2	
Complex4	CD28:B7-2	plasma membrane	Reactome DB_ID: 388768	Protein3	
Complex4	CD28:B7-2	plasma membrane	Reactome DB_ID: 388768	Complex1	
Complex5	CD28 bound to B7 ligands	plasma membrane	Reactome DB_ID: 388765	PhysicalEntity1	
Complex5	CD28 bound to B7 ligands	plasma membrane	Reactome DB_ID: 388765	Complex1	
Complex6	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	PhysicalEntity1	
Complex6	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Complex7	
Complex6	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Protein4	
Complex7	Phospho CD28 homodimer	plasma membrane	Reactome DB_ID: 388778	Protein7	
Complex8	CD28:Gads	plasma membrane	Reactome DB_ID: 389384	Protein12	
Complex8	CD28:Gads	plasma membrane	Reactome DB_ID: 389384	Complex6	
Complex9	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein13	
Complex9	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein14	
