Complex10	Ubiquitinated AUF1 Tetramer	cytosol	Reactome DB_ID: 450417	Protein23	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein26	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein27	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein28	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein29	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein30	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein31	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein32	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein33	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein34	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein35	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein36	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein37	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein38	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein39	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein40	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein41	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein42	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein43	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein44	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein45	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein46	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein47	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein48	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein49	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein50	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein51	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein52	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein53	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein54	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein55	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein56	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein57	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein58	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein59	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein60	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein61	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein62	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein63	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein64	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein65	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein66	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein67	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein68	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein69	
Complex12	BRF1:mRNA Complex	cytosol	Reactome DB_ID: 450589	Protein70	
Complex12	BRF1:mRNA Complex	cytosol	Reactome DB_ID: 450589	PhysicalEntity2	
Complex13	Exosome Complex	cytosol	Reactome DB_ID: 429971	Protein72	
Complex13	Exosome Complex	cytosol	Reactome DB_ID: 429971	Complex14	
Complex13	Exosome Complex	cytosol	Reactome DB_ID: 429971	Protein79	
Complex13	Exosome Complex	cytosol	Reactome DB_ID: 429971	Protein80	
Complex13	Exosome Complex	cytosol	Reactome DB_ID: 429971	Protein81	
Complex14	Exosome Ring Hexamer	cytosol	Reactome DB_ID: 430046	Protein73	
Complex14	Exosome Ring Hexamer	cytosol	Reactome DB_ID: 430046	Protein74	
Complex14	Exosome Ring Hexamer	cytosol	Reactome DB_ID: 430046	Protein75	
Complex14	Exosome Ring Hexamer	cytosol	Reactome DB_ID: 430046	Protein76	
Complex14	Exosome Ring Hexamer	cytosol	Reactome DB_ID: 430046	Protein77	
Complex14	Exosome Ring Hexamer	cytosol	Reactome DB_ID: 430046	Protein78	
Complex15	BRF1:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450430	Protein71	
Complex15	BRF1:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450430	Complex13	
Complex15	BRF1:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450430	Protein82	
Complex15	BRF1:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450430	Protein83	
Complex15	BRF1:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450430	Complex12	
Complex16	Phosphorylated BRF1 (Ser92, Ser203):mRNA Complex	cytosol	Reactome DB_ID: 450378	PhysicalEntity2	
Complex16	Phosphorylated BRF1 (Ser92, Ser203):mRNA Complex	cytosol	Reactome DB_ID: 450378	Protein84	
Complex17	Phosphorylated BRF1 (Ser54, Ser92, Ser203):mRNA Complex	cytosol	Reactome DB_ID: 450502	Protein86	
Complex17	Phosphorylated BRF1 (Ser54, Ser92, Ser203):mRNA Complex	cytosol	Reactome DB_ID: 450502	PhysicalEntity2	
Complex18	Phosphorylated BRF1 (Ser92, Ser203):mRNA:14-3-3 Complex	cytosol	Reactome DB_ID: 450585	Complex16	
Complex18	Phosphorylated BRF1 (Ser92, Ser203):mRNA:14-3-3 Complex	cytosol	Reactome DB_ID: 450585	Protein88	
Complex19	Phosphorylated BRF1 (Ser54, Ser92, Ser203):mRNA:14-3-3 Complex	cytosol	Reactome DB_ID: 482787	Complex17	
Complex19	Phosphorylated BRF1 (Ser54, Ser92, Ser203):mRNA:14-3-3 Complex	cytosol	Reactome DB_ID: 482787	Protein88	
Complex2	AUF1 p37 Dimer	cytosol	Reactome DB_ID: 450539	Protein1	
Complex20	TTP:mRNA Complex	cytosol	Reactome DB_ID: 450365	Protein89	
Complex20	TTP:mRNA Complex	cytosol	Reactome DB_ID: 450365	Protein90	
Complex20	TTP:mRNA Complex	cytosol	Reactome DB_ID: 450365	PhysicalEntity3	
Complex21	TTP:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450436	Protein71	
Complex21	TTP:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450436	Complex20	
Complex21	TTP:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450436	Complex13	
Complex21	TTP:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450436	Protein82	
Complex21	TTP:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450436	Protein83	
Complex22	Phosphorylated TTP:mRNA Complex	cytosol	Reactome DB_ID: 450541	Protein89	
Complex22	Phosphorylated TTP:mRNA Complex	cytosol	Reactome DB_ID: 450541	Protein91	
Complex22	Phosphorylated TTP:mRNA Complex	cytosol	Reactome DB_ID: 450541	PhysicalEntity3	
Complex23	Phosphorylated TTP:mRNA:14-3-3 Complex	cytosol	Reactome DB_ID: 450420	Complex22	
Complex23	Phosphorylated TTP:mRNA:14-3-3 Complex	cytosol	Reactome DB_ID: 450420	Protein88	
Complex24	KSRP:mRNA Complex	cytosol	Reactome DB_ID: 450608	PhysicalEntity4	
Complex24	KSRP:mRNA Complex	cytosol	Reactome DB_ID: 450608	Protein92	
Complex25	KSRP:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450479	Complex13	
Complex25	KSRP:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450479	Protein82	
Complex25	KSRP:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450479	Complex24	
Complex25	KSRP:mRNA Degradation Complex	cytosol	Reactome DB_ID: 450479	Protein93	
Complex26	Phosphorylated KSRP (Ser193):14-3-3zeta Complex	nucleoplasm	Reactome DB_ID: 450446	Protein95	
Complex26	Phosphorylated KSRP (Ser193):14-3-3zeta Complex	nucleoplasm	Reactome DB_ID: 450446	Protein96	
Complex27	Phospho-MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 170993	Protein98	
Complex27	Phospho-MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 170993	SmallMolecule3	
Complex28	HuR with phosphoserine221 and phosphoserine158:mRNA Complex	nucleoplasm	Reactome DB_ID: 517672	PhysicalEntity5	
Complex28	HuR with phosphoserine221 and phosphoserine158:mRNA Complex	nucleoplasm	Reactome DB_ID: 517672	Protein102	
Complex29	HuR with phosphoserine221 and phosphoserine318:mRNA Complex	nucleoplasm	Reactome DB_ID: 517751	PhysicalEntity6	
Complex29	HuR with phosphoserine221 and phosphoserine318:mRNA Complex	nucleoplasm	Reactome DB_ID: 517751	Protein104	
Complex3	Phosphorylated AUF1 p40 Dimer	cytosol	Reactome DB_ID: 450375	Protein2	
Complex30	HuR with Unknown Phosphorylation: mRNA Complex	nucleoplasm	Reactome DB_ID: 450395	Protein101	
Complex30	HuR with Unknown Phosphorylation: mRNA Complex	nucleoplasm	Reactome DB_ID: 450395	PhysicalEntity7	
Complex32	HuR:APRIL:pp32:SET/SETalpha:Nup214/SETbeta:CRM1 Complex	nucleoplasm	Reactome DB_ID: 450537	Protein106	
Complex32	HuR:APRIL:pp32:SET/SETalpha:Nup214/SETbeta:CRM1 Complex	nucleoplasm	Reactome DB_ID: 450537	Protein107	
Complex32	HuR:APRIL:pp32:SET/SETalpha:Nup214/SETbeta:CRM1 Complex	nucleoplasm	Reactome DB_ID: 450537	Protein108	
Complex32	HuR:APRIL:pp32:SET/SETalpha:Nup214/SETbeta:CRM1 Complex	nucleoplasm	Reactome DB_ID: 450537	Complex31	
Complex32	HuR:APRIL:pp32:SET/SETalpha:Nup214/SETbeta:CRM1 Complex	nucleoplasm	Reactome DB_ID: 450537	Protein109	
Complex32	HuR:APRIL:pp32:SET/SETalpha:Nup214/SETbeta:CRM1 Complex	nucleoplasm	Reactome DB_ID: 450537	Protein110	
Complex34	HuR with Unknown Phosphorylation: mRNA Complex	cytosol	Reactome DB_ID: 450512	PhysicalEntity8	
Complex34	HuR with Unknown Phosphorylation: mRNA Complex	cytosol	Reactome DB_ID: 450512	Protein111	
Complex35	HuR with phosphoserine221 and phosphoserine158:mRNA Complex	cytosol	Reactome DB_ID: 517624	PhysicalEntity10	
Complex35	HuR with phosphoserine221 and phosphoserine158:mRNA Complex	cytosol	Reactome DB_ID: 517624	Protein112	
Complex36	HuR with phosphoserine221 and phosphoserine318:mRNA Complex	cytosol	Reactome DB_ID: 517553	PhysicalEntity11	
Complex36	HuR with phosphoserine221 and phosphoserine318:mRNA Complex	cytosol	Reactome DB_ID: 517553	Protein113	
Complex4	AUF1 Tetramer: Destabilized mRNA Complex	cytosol	Reactome DB_ID: 450598	Complex5	
Complex4	AUF1 Tetramer: Destabilized mRNA Complex	cytosol	Reactome DB_ID: 450598	PhysicalEntity1	
Complex6	AUF1 p37 Tetramer	cytosol	Reactome DB_ID: 450414	Protein1	
Complex7	Phosphorylated AUF1 p40 Tetramer	cytosol	Reactome DB_ID: 450525	Protein2	
Complex8	AUF1 Complexed with Translation and Heat Shock Proteins	cytosol	Reactome DB_ID: 450623	Protein3	
Complex8	AUF1 Complexed with Translation and Heat Shock Proteins	cytosol	Reactome DB_ID: 450623	Complex4	
Complex8	AUF1 Complexed with Translation and Heat Shock Proteins	cytosol	Reactome DB_ID: 450623	Protein4	
