Complex1	TP53 Tetramer	nucleoplasm	Reactome DB_ID: 3209194	Protein1	
Complex10	ATR-ATRIP	nucleoplasm	Reactome DB_ID: 176269	Protein81	
Complex10	ATR-ATRIP	nucleoplasm	Reactome DB_ID: 176269	Protein82	
Complex100	Cyclin B:Cdk1 complex	nucleoplasm	Reactome DB_ID: 75032	Protein308	
Complex100	Cyclin B:Cdk1 complex	nucleoplasm	Reactome DB_ID: 75032	Protein174	
Complex101	ORC:origin:cyclin B:cdk1 complex	nucleoplasm	Reactome DB_ID: 113637	Complex100	
Complex101	ORC:origin:cyclin B:cdk1 complex	nucleoplasm	Reactome DB_ID: 113637	Complex30	
Complex102	Cyclin A:Cdk2 complex	cytosol	Reactome DB_ID: 187501	Protein309	
Complex102	Cyclin A:Cdk2 complex	cytosol	Reactome DB_ID: 187501	Protein242	
Complex103	Cyclin A:Cdk2 complex	nucleoplasm	Reactome DB_ID: 141608	Protein170	
Complex103	Cyclin A:Cdk2 complex	nucleoplasm	Reactome DB_ID: 141608	Protein69	
Complex104	Cyclin A:phospho-Cdk2(Tyr 15)	nucleoplasm	Reactome DB_ID: 187907	Protein170	
Complex104	Cyclin A:phospho-Cdk2(Tyr 15)	nucleoplasm	Reactome DB_ID: 187907	Protein312	
Complex105	CCNA:p-T160-CDK2	nucleoplasm	Reactome DB_ID: 187952	Protein170	
Complex105	CCNA:p-T160-CDK2	nucleoplasm	Reactome DB_ID: 187952	Protein292	
Complex106	Cyclin A:Cdk2:p21/p27 complex	nucleoplasm	Reactome DB_ID: 187926	Complex103	
Complex106	Cyclin A:Cdk2:p21/p27 complex	nucleoplasm	Reactome DB_ID: 187926	Protein73	
Complex107	Cyclin A:Cdk2:phospho-p27/p21 complex	nucleoplasm	Reactome DB_ID: 187912	Complex103	
Complex107	Cyclin A:Cdk2:phospho-p27/p21 complex	nucleoplasm	Reactome DB_ID: 187912	Protein243	
Complex108	Cyclin A:Cdk2:substrate complex	nucleoplasm	Reactome DB_ID: 187947	Complex105	
Complex108	Cyclin A:Cdk2:substrate complex	nucleoplasm	Reactome DB_ID: 187947	Protein315	
Complex109	Cyclin A:Cdk2:phosphorylated substrate complex	nucleoplasm	Reactome DB_ID: 187965	Complex105	
Complex109	Cyclin A:Cdk2:phosphorylated substrate complex	nucleoplasm	Reactome DB_ID: 187965	Protein317	
Complex11	phospho-Cdc25C:14-3-3 protein complex	cytosol	Reactome DB_ID: 75005	Protein86	
Complex11	phospho-Cdc25C:14-3-3 protein complex	cytosol	Reactome DB_ID: 75005	PhysicalEntity4	
Complex110	pre-replicative complex (Orc1-minus)	nucleoplasm	Reactome DB_ID: 157563	Protein120	
Complex110	pre-replicative complex (Orc1-minus)	nucleoplasm	Reactome DB_ID: 157563	Complex31	
Complex110	pre-replicative complex (Orc1-minus)	nucleoplasm	Reactome DB_ID: 157563	Complex28	
Complex110	pre-replicative complex (Orc1-minus)	nucleoplasm	Reactome DB_ID: 157563	Protein123	
Complex110	pre-replicative complex (Orc1-minus)	nucleoplasm	Reactome DB_ID: 157563	PhysicalEntity6	
Complex110	pre-replicative complex (Orc1-minus)	nucleoplasm	Reactome DB_ID: 157563	Protein295	
Complex110	pre-replicative complex (Orc1-minus)	nucleoplasm	Reactome DB_ID: 157563	Protein119	
Complex110	pre-replicative complex (Orc1-minus)	nucleoplasm	Reactome DB_ID: 157563	Protein125	
Complex110	pre-replicative complex (Orc1-minus)	nucleoplasm	Reactome DB_ID: 157563	Protein124	
Complex111	ubiquitinated Orc1	nucleoplasm	Reactome DB_ID: 113570	Protein224	
Complex111	ubiquitinated Orc1	nucleoplasm	Reactome DB_ID: 113570	Protein126	
Complex112	ubiquitinated Orc1	cytosol	Reactome DB_ID: 68586	Protein9	
Complex112	ubiquitinated Orc1	cytosol	Reactome DB_ID: 68586	Protein320	
Complex113	ubiquitinated Cdc6	cytosol	Reactome DB_ID: 68570	Protein9	
Complex113	ubiquitinated Cdc6	cytosol	Reactome DB_ID: 68570	Protein323	
Complex114	Mcm4:Mcm6:Mcm7	nucleoplasm	Reactome DB_ID: 69018	Protein115	
Complex114	Mcm4:Mcm6:Mcm7	nucleoplasm	Reactome DB_ID: 69018	Protein117	
Complex114	Mcm4:Mcm6:Mcm7	nucleoplasm	Reactome DB_ID: 69018	Protein118	
Complex115	GINS complex	nucleoplasm	Reactome DB_ID: 176952	Protein324	
Complex115	GINS complex	nucleoplasm	Reactome DB_ID: 176952	Protein325	
